DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n1,2,30,1,2,0,n1,1,20,1,2,0
n1,2,40,1,2,0,n1,1,20,1,2,0
n3,2,30,1,2,0,n3,1,20,1,2,0
n3,2,40,1,2,0,n3,1,20,1,2,0
n7,2,40,1,2,0,n7,1,20,1,2,0
n8,2,10,1,2,0,n8,1,10,1,2,0
n28,2,10,1,2,0,n28,1,10,1,2,0
n38,4,40,2,2,0,n38,1,20,2,2,0
n40,4,80,2,2,1,n40,1,80,2,2,0
n41,4,100,2,2,1,n41,1,100,2,2,1
n41,4,100,2,2,1,n41,2,100,2,2,1
n77,4,100,2,2,1,n77,1,100,2,2,1
n77,4,100,2,2,1,n77,2,100,2,2,1
n78,4,100,2,2,1,n78,1,100,2,2,1
n78,4,100,2,2,1,n78,2,100,2,2,1
1_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1_n78,4,100,2,2,1,1_n78,1,100,2,2,1
3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
5_n78,4,100,2,2,1,5_n78,1,100,2,2,1
7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
8_n78,4,100,2,2,1,8_n78,1,100,2,2,1
1-3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-5_n78,4,100,2,2,1,5_n78,1,100,2,2,1
1-5_n78,4,100,2,2,1,5_n78,1,100,2,2,1
1-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
1-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
1-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
1-3_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-3_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-5_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-5_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-7_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-7_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-7_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-8_n78,4,100,2,2,1,8_n78,1,100,2,2,1
1-8_n78,4,100,2,2,1,1_n78,1,100,2,2,1
3-5_n78,4,100,2,2,1,5_n78,1,100,2,2,1
3-5_n78,4,100,2,2,1,5_n78,1,100,2,2,1
3-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
3-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
3-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
3-5_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3-5_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3-7_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3-7_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3-7_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3-8_n78,4,100,2,2,1,8_n78,1,100,2,2,1
3-8_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3C_n78,4,100,2,2,1,3_n78,1,100,2,2,1
5-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
5-7_n78,4,100,2,2,1,5_n78,1,100,2,2,1
7-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
1-3-5_n78,4,100,2,2,1,5_n78,1,100,2,2,1
1-3-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
1-3-8_n78,4,100,2,2,1,8_n78,1,100,2,2,1
1-3-5_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-3-7_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-3-8_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-3C_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-5-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
1-5-7_n78,4,100,2,2,1,5_n78,1,100,2,2,1
1-3-5_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-3-7_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-3-8_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-3C_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-5-7_n78,4,100,2,2,1,1_n78,1,100,2,2,1
3-7-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
3-7-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
3-7-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
3-7-7_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3-7-7_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3-7-7_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3-5-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
3-5-7_n78,4,100,2,2,1,5_n78,1,100,2,2,1
3-5-7_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3C-8_n78,4,100,2,2,1,8_n78,1,100,2,2,1
3C-8_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-3C-8_n78,4,100,2,2,1,8_n78,1,100,2,2,1
1-3C-8_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-3C-8_n78,4,100,2,2,1,1_n78,1,100,2,2,1
