DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n28,2,10,1,2,0,n28,1,10,1,2,0
n28,2,30,1,2,0,n28,1,20,1,2,0
n78,4,100,2,2,1,n78,1,100,2,2,1
n78,4,100,2,2,1,n78,2,100,2,2,1
n79,4,100,2,2,1,n79,1,100,2,2,1
n78_n79,4;4,100;100,2;2,2;2,1;1,n79,1,100,2,2,1
n78_n79,4;4,100;100,2;2,2;2,1;1,n78,2,100,2,2,1
1_n28,2,10,1,2,0,1_n28,1,10,1,2,0
1_n28,2,10,1,2,0,1_n28,1,10,1,2,0
1_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1_n79,4,100,2,2,1,1_n79,1,100,2,2,1
1_n257,4,100,4,1,0,1_n257,2,100,4,1,0
3_n28,2,10,1,2,0,3_n28,1,10,1,2,0
3_n28,2,10,1,2,0,3_n28,1,10,1,2,0
3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3_n79,4,100,2,2,1,3_n79,1,100,2,2,1
3_n257,4,100,4,1,0,3_n257,2,100,4,1,0
19_n78,4,100,2,2,1,19_n78,1,100,2,2,1
19_n79,4,100,2,2,1,19_n79,1,100,2,2,1
19_n257,4,100,4,1,0,19_n257,2,100,4,1,0
21_n78,4,100,2,2,1,21_n78,1,100,2,2,1
21_n79,4,100,2,2,1,21_n79,1,100,2,2,1
21_n257,4,100,4,1,0,21_n257,2,100,4,1,0
1-3_n28,2,10,1,2,0,3_n28,1,10,1,2,0
1-3_n28,2,10,1,2,0,3_n28,1,10,1,2,0
1-3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-21_n78,4,100,2,2,1,21_n78,1,100,2,2,1
1-21_n79,4,100,2,2,1,21_n79,1,100,2,2,1
1-3_n28,2,10,1,2,0,1_n28,1,10,1,2,0
1-3_n28,2,10,1,2,0,1_n28,1,10,1,2,0
1-3_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-3_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-21_n28,2,10,1,2,0,1_n28,1,10,1,2,0
1-21_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-21_n79,4,100,2,2,1,1_n79,1,100,2,2,1
1_n28_n78,2;4,10;100,1;2,2;2,0;1,1_n78,1,100,2,2,1
1_n28_n78,2;4,10;100,1;2,2;2,0;1,1_n78,1,100,2,2,1
1_n28_n78,2;4,10;100,1;2,2;2,0;1,1_n28,1,10,1,2,0
1_n28_n78,2;4,10;100,1;2,2;2,0;1,1_n28,1,10,1,2,0
1_n78_n78,4;4,80;100,2;2,2;2,1;1,1_n78,1,100,2,2,1
1_n78_n78,4;4,80;100,2;2,2;2,1;1,1_n78,1,100,2,2,1
1_n78_n78,4;4,80;100,2;2,2;2,1;1,1_n78,1,80,2,2,0
1_n78_n78,4;4,80;100,2;2,2;2,1;1,1_n78,1,80,2,2,0
1-3_n79,4,100,2,2,1,3_n79,1,100,2,2,1
1-3_n257,4,100,4,1,0,3_n257,2,100,4,1,0
1-19_n78,4,100,2,2,1,19_n78,1,100,2,2,1
1-19_n79,4,100,2,2,1,19_n79,1,100,2,2,1
1-19_n257,4,100,4,1,0,19_n257,2,100,4,1,0
1-3_n79,4,100,2,2,1,1_n79,1,100,2,2,1
1-3_n257,4,100,4,1,0,1_n257,2,100,4,1,0
1-19_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-19_n79,4,100,2,2,1,1_n79,1,100,2,2,1
1-19_n257,4,100,4,1,0,1_n257,2,100,4,1,0
1-42_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-42_n79,4,100,2,2,1,1_n79,1,100,2,2,1
1-42_n257,4,100,4,1,0,1_n257,2,100,4,1,0
1_n78_n79,4;4,100;100,2;2,2;2,1;1,1_n79,1,100,2,2,1
1_n78_n79,4;4,100;100,2;2,2;2,1;1,1_n78,1,100,2,2,1
3-21_n78,4,100,2,2,1,21_n78,1,100,2,2,1
3-21_n79,4,100,2,2,1,21_n79,1,100,2,2,1
3-21_n28,2,10,1,2,0,3_n28,1,10,1,2,0
3-21_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3-21_n79,4,100,2,2,1,3_n79,1,100,2,2,1
3_n28_n78,2;4,10;100,1;2,2;2,0;1,3_n78,1,100,2,2,1
3_n28_n78,2;4,10;100,1;2,2;2,0;1,3_n78,1,100,2,2,1
3_n28_n78,2;4,10;100,1;2,2;2,0;1,3_n28,1,10,1,2,0
3_n28_n78,2;4,10;100,1;2,2;2,0;1,3_n28,1,10,1,2,0
3_n78_n78,4;4,80;100,2;2,2;2,1;1,3_n78,1,100,2,2,1
3_n78_n78,4;4,80;100,2;2,2;2,1;1,3_n78,1,100,2,2,1
