DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
n2;[2];[30];[1];[2];[0];n2;[1];[20];[1];[2];[0]
n2;[2];[40];[1];[2];[0];n2;[1];[20];[1];[2];[0]
n25;[2];[30];[1];[2];[0];n25;[1];[20];[1];[2];[0]
n25;[2];[40];[1];[2];[0];n25;[1];[20];[1];[2];[0]
n25;[4];[25];[2];[2];[0];n25;[1];[40];[1];[2];[0]
n41;[4];[100];[2];[2];[1];n41;[1];[100];[2];[2];[1]
n41;[4];[100];[2];[2];[1];n41;[2];[100];[2];[2];[1]
n48;[4];[60];[2];[2];[0];n48;[1];[40];[2];[2];[0]
n48;[4];[60];[2];[2];[0];n48;[2];[40];[2];[2];[0]
n48;[4];[100];[2];[2];[1];n48;[2];[100];[2];[2];[1]
n66;[2];[30];[1];[2];[0];n66;[1];[20];[1];[2];[0]
n66;[2];[40];[1];[2];[0];n66;[1];[20];[1];[2];[0]
n66;[4];[25];[2];[2];[0];n66;[1];[40];[1];[2];[0]
n70;[2];[40];[1];[2];[0];n70;[1];[20];[1];[2];[0]
n71;[2];[30];[1];[2];[0];n71;[1];[20];[1];[2];[0]
n26_n66;[2, 4];[10, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n26_n70;[2, 2];[10, 40];[1, 1];[2, 2];[0, 0];n70;[1];[20];[1];[2];[0]
n26_n66;[2, 4];[10, 25];[1, 2];[2, 2];[0, 0];n26;[1];[10];[1];[2];[0]
n26_n70;[2, 2];[10, 40];[1, 1];[2, 2];[0, 0];n26;[1];[10];[1];[2];[0]
n29_n66;[2, 4];[10, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n29_n70;[2, 2];[10, 40];[1, 1];[2, 2];[0, 0];n70;[1];[20];[1];[2];[0]
n48_n66;[4, 2];[60, 40];[2, 1];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n48_n66;[4, 4];[100, 25];[2, 2];[2, 2];[1, 0];n66;[1];[40];[1];[2];[0]
n48_n66;[4, 2];[60, 40];[2, 1];[2, 2];[0, 0];n48;[1];[40];[2];[2];[0]
n48_n66;[4, 4];[100, 25];[2, 2];[2, 2];[1, 0];n48;[2];[100];[2];[2];[1]
n48_n48;[2, 4];[80, 100];[2, 2];[2, 2];[0, 1];n48;[1];[100];[2];[2];[1]
n48_n48;[2, 4];[80, 100];[2, 2];[2, 2];[0, 1];n48;[2];[100];[2];[2];[1]
n48_n48;[2, 4];[80, 100];[2, 2];[2, 2];[0, 1];n48;[1];[50];[2];[2];[0]
n48_n48;[2, 4];[80, 100];[2, 2];[2, 2];[0, 1];n48;[2];[50];[2];[2];[0]
n48_n70;[4, 2];[100, 40];[2, 1];[2, 2];[1, 0];n70;[1];[20];[1];[2];[0]
n48_n70;[4, 2];[100, 40];[2, 1];[2, 2];[1, 0];n48;[2];[100];[2];[2];[1]
n48;[4, 4];[80, 40];[2, 2];[2, 2];[1, 0];n48;[1];[80];[2];[2];[0]
n48;[4, 4];[80, 40];[2, 2];[2, 2];[1, 0];n48;[2];[80];[2];[2];[0]
n48;[4, 2];[100, 80];[2, 2];[2, 2];[1, 0];n48;[2];[100];[2];[2];[1]
n66_n66;[2, 2];[20, 30];[1, 1];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n66_n66;[2, 2];[25, 40];[1, 1];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n66_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n66_n66;[2, 2];[20, 30];[1, 1];[2, 2];[0, 0];n66;[1];[15];[1];[2];[0]
n66_n66;[2, 2];[25, 40];[1, 1];[2, 2];[0, 0];n66;[1];[15];[1];[2];[0]
n66_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
