DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n66,2,30,1,2,0,n66,1,20,1,2,0
n66,2,40,1,2,0,n66,1,20,1,2,0
n66,4,25,2,2,0,n66,1,40,1,2,0
n71,2,30,1,2,0,n71,1,20,1,2,0
n77,4,100,2,2,1,n77,2,100,2,2,1
7_n66,2,40,1,2,0,7_n66,1,20,1,2,0
7_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7_n71,2,30,1,2,0,7_n71,1,20,1,2,0
13_n66,2,40,1,2,0,13_n66,1,20,1,2,0
13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-13_n66,2,40,1,2,0,13_n66,1,20,1,2,0
7-13_n66,2,40,1,2,0,13_n66,1,20,1,2,0
7-13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
7-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-66_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7-66_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7-66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
7-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
7-13_n66,2,40,1,2,0,7_n66,1,20,1,2,0
7-13_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7-66_n66,2,40,1,2,0,7_n66,1,20,1,2,0
7-66_n66,4,25,2,2,0,7_n66,1,40,1,2,0
13-66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
13-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
13-66_n66,2,40,1,2,0,13_n66,1,20,1,2,0
13-66_n66,4,25,2,2,0,13_n66,1,40,1,2,0
66-66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
66-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
66-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-66-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-66-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-66-66_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7-66-66_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7-13-66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
7-13-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
7-13-66_n66,2,40,1,2,0,13_n66,1,20,1,2,0
7-13-66_n66,4,25,2,2,0,13_n66,1,40,1,2,0
7-13-66_n66,2,40,1,2,0,7_n66,1,20,1,2,0
7-13-66_n66,4,25,2,2,0,7_n66,1,40,1,2,0
13-66-66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
13-66-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
13-66-66_n66,2,40,1,2,0,13_n66,1,20,1,2,0
13-66-66_n66,4,25,2,2,0,13_n66,1,40,1,2,0
