DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n3,2,30,1,2,0,n3,1,20,1,2,0
n3,2,40,1,2,0,n3,1,20,1,2,0
n28,2,10,1,2,0,n28,1,10,1,2,0
n28,2,30,1,2,0,n28,1,20,1,2,0
n41,4,50,2,2,0,n41,1,30,2,2,0
n41,4,100,2,2,1,n41,1,100,2,2,1
n77,4,100,2,2,1,n77,1,100,2,2,1
n77,4,100,2,2,1,n77,2,100,2,2,1
n78,4,100,2,2,1,n78,1,100,2,2,1
n78,4,100,2,2,1,n78,2,100,2,2,1
n3_n28,2;2,30;10,1;1,2;2,0;0,n28,1,10,1,2,0
n3_n28,2;2,40;10,1;1,2;2,0;0,n28,1,10,1,2,0
n3_n41,2;4,30;50,1;2,2;2,0;0,n41,1,30,2,2,0
n3_n41,2;4,40;50,1;2,2;2,0;0,n41,1,30,2,2,0
n3_n77,2;4,30;100,1;2,2;2,0;1,n77,1,100,2,2,1
n3_n77,2;4,40;100,1;2,2;2,0;1,n77,2,100,2,2,1
n3_n78,2;4,30;100,1;2,2;2,0;1,n78,1,100,2,2,1
n3_n78,2;4,40;100,1;2,2;2,0;1,n78,2,100,2,2,1
n3_n28,2;2,30;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n28,2;2,40;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n41,2;4,30;50,1;2,2;2,0;0,n3,1,20,1,2,0
n3_n41,2;4,40;50,1;2,2;2,0;0,n3,1,20,1,2,0
n3_n77,2;4,30;100,1;2,2;2,0;1,n3,1,20,1,2,0
n3_n77,2;4,40;100,1;2,2;2,0;1,n3,1,20,1,2,0
n3_n78,2;4,30;100,1;2,2;2,0;1,n3,1,20,1,2,0
n3_n78,2;4,40;100,1;2,2;2,0;1,n3,1,20,1,2,0
n28_n41,2;4,10;50,1;2,2;2,0;0,n41,1,30,2,2,0
n28_n77,2;4,10;100,1;2,2;2,0;1,n77,1,100,2,2,1
n28_n77,2;4,10;100,1;2,2;2,0;1,n77,2,100,2,2,1
n28_n78,2;4,10;100,1;2,2;2,0;1,n78,1,100,2,2,1
n28_n78,2;4,10;100,1;2,2;2,0;1,n78,2,100,2,2,1
n28_n41,2;4,10;50,1;2,2;2,0;0,n28,1,10,1,2,0
n28_n77,2;4,10;100,1;2,2;2,0;1,n28,1,10,1,2,0
n28_n78,2;4,10;100,1;2,2;2,0;1,n28,1,10,1,2,0
n41_n77,4;4,50;100,2;2,2;2,0;1,n77,1,100,2,2,1
n41_n77,4;4,50;100,2;2,2;2,0;1,n77,2,100,2,2,1
n41_n78,4;4,50;100,2;2,2;2,0;1,n78,1,100,2,2,1
n41_n78,4;4,50;100,2;2,2;2,0;1,n78,2,100,2,2,1
n41_n77,4;4,50;100,2;2,2;2,0;1,n41,1,30,2,2,0
n41_n78,4;4,50;100,2;2,2;2,0;1,n41,1,30,2,2,0
n77_n77,4;4,100;100,2;2,2;2,1;1,n77,1,100,2,2,1
n77_n77,4;4,100;100,2;2,2;2,1;1,n77,2,100,2,2,1
n78_n78,4;4,100;100,2;2,2;2,1;1,n78,1,100,2,2,1
n78_n78,4;4,100;100,2;2,2;2,1;1,n78,2,100,2,2,1
1_n28,2,10,1,2,0,1_n28,1,10,1,2,0
1_n28,2,10,1,2,0,1_n28,1,10,1,2,0
1_n77,4,100,2,2,1,1_n77,1,100,2,2,1
