DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n2,2,30,1,2,0,n2,1,20,1,2,0
n2,2,40,1,2,0,n2,1,20,1,2,0
n5,2,10,1,2,0,n5,1,10,1,2,0
n5,2,30,1,2,0,n5,1,20,1,2,0
n7,2,40,1,2,0,n7,1,20,1,2,0
n7,2,30,2,2,0,n7,1,50,1,2,0
n41,4,40,2,2,0,n41,1,20,2,2,0
n41,4,40,2,2,0,n41,2,20,2,2,0
n41,4,100,2,2,1,n41,2,100,2,2,1
n66,2,30,1,2,0,n66,1,20,1,2,0
n66,2,40,1,2,0,n66,1,20,1,2,0
n66,4,25,2,2,0,n66,1,40,1,2,0
n71,2,30,1,2,0,n71,1,20,1,2,0
n78,4,100,2,2,1,n78,1,100,2,2,1
n78,4,100,2,2,1,n78,2,100,2,2,1
n2_n66,2;2,30;30,1;1,2;2,0;0,n66,1,20,1,2,0
n2_n66,2;2,40;40,1;1,2;2,0;0,n66,1,20,1,2,0
n2_n66,2;4,40;25,1;2,2;2,0;0,n66,1,40,1,2,0
n2_n78,2;4,30;100,1;2,2;2,0;1,n78,1,100,2,2,1
n2_n78,2;4,40;100,1;2,2;2,0;1,n78,1,100,2,2,1
n2_n78,2;4,40;100,1;2,2;2,0;1,n78,2,100,2,2,1
n2_n66,2;2,30;30,1;1,2;2,0;0,n2,1,20,1,2,0
n2_n66,2;2,40;40,1;1,2;2,0;0,n2,1,20,1,2,0
n2_n66,2;4,40;25,1;2,2;2,0;0,n2,1,20,1,2,0
n2_n78,2;4,30;100,1;2,2;2,0;1,n2,1,20,1,2,0
n2_n78,2;4,40;100,1;2,2;2,0;1,n2,1,20,1,2,0
n2_n5,2;2,40;30,1;1,2;2,0;0,n5,1,20,1,2,0
n2_n7,2;2,40;30,1;2,2;2,0;0,n7,1,50,1,2,0
n2_n41,2;4,40;100,1;2,2;2,0;1,n41,1,100,2,2,1
n2_n5,2;2,40;30,1;1,2;2,0;0,n2,1,20,1,2,0
n2_n7,2;2,40;30,1;2,2;2,0;0,n2,1,20,1,2,0
n2_n41,2;4,40;100,1;2,2;2,0;1,n2,1,20,1,2,0
n5_n7,2;2,30;30,1;2,2;2,0;0,n7,1,50,1,2,0
n5_n66,2;4,30;25,1;2,2;2,0;0,n66,1,40,1,2,0
n5_n78,2;4,30;100,1;2,2;2,0;1,n78,2,100,2,2,1
n5_n7,2;2,30;30,1;2,2;2,0;0,n5,1,20,1,2,0
n5_n66,2;4,30;25,1;2,2;2,0;0,n5,1,20,1,2,0
n5_n78,2;4,30;100,1;2,2;2,0;1,n5,1,20,1,2,0
n7_n66,2;4,30;25,2;2,2;2,0;0,n66,1,40,1,2,0
n7_n78,2;4,30;100,2;2,2;2,0;1,n78,2,100,2,2,1
n7_n66,2;4,30;25,2;2,2;2,0;0,n7,1,50,1,2,0
n7_n78,2;4,30;100,2;2,2;2,0;1,n7,1,50,1,2,0
n41_n66,4;2,40;30,2;1,2;2,0;0,n66,1,20,1,2,0
n41_n66,4;2,40;40,2;1,2;2,0;0,n66,1,20,1,2,0
n41_n66,4;4,100;25,2;2,2;2,1;0,n66,1,40,1,2,0
n41_n71,4;2,40;30,2;1,2;2,0;0,n71,1,20,1,2,0
n41_n71,4;2,100;30,2;1,2;2,1;0,n71,1,20,1,2,0
n41_n66,4;2,40;30,2;1,2;2,0;0,n41,1,20,2,2,0
n41_n66,4;2,40;40,2;1,2;2,0;0,n41,1,20,2,2,0
n41_n66,4;4,100;25,2;2,2;2,1;0,n41,1,100,2,2,1
n41_n71,4;2,40;30,2;1,2;2,0;0,n41,1,20,2,2,0
n41_n71,4;2,40;30,2;1,2;2,0;0,n41,2,20,2,2,0
n41_n71,4;2,100;30,2;1,2;2,1;0,n41,2,100,2,2,1
n41_n78,4;4,100;100,2;2,2;2,1;1,n78,2,100,2,2,1
