DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n66,4,25,2,2,0,n66,1,40,1,2,0
2_n66,4,25,2,2,0,2_n66,1,40,1,2,0
5_n66,4,25,2,2,0,5_n66,1,40,1,2,0
7_n66,4,25,2,2,0,7_n66,1,40,1,2,0
13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
71_n66,4,25,2,2,0,71_n66,1,40,1,2,0
2-5_n66,4,25,2,2,0,5_n66,1,40,1,2,0
2-7_n66,4,25,2,2,0,7_n66,1,40,1,2,0
2-13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
2-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
2-5_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2-7_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2-13_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2-66_n66,4,25,2,2,0,2_n66,1,40,1,2,0
5-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
5-66_n66,4,25,2,2,0,5_n66,1,40,1,2,0
7-7_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7-13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
7-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
7-13_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7-66_n66,4,25,2,2,0,7_n66,1,40,1,2,0
13-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
13-66_n66,4,25,2,2,0,13_n66,1,40,1,2,0
66-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
66-71_n66,4,25,2,2,0,71_n66,1,40,1,2,0
66-71_n66,4,25,2,2,0,66_n66,1,40,1,2,0
2-5-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
2-5-66_n66,4,25,2,2,0,5_n66,1,40,1,2,0
2-7-7_n66,4,25,2,2,0,7_n66,1,40,1,2,0
2-7-13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
2-7-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
2-7-13_n66,4,25,2,2,0,7_n66,1,40,1,2,0
2-7-66_n66,4,25,2,2,0,7_n66,1,40,1,2,0
2-13-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
2-13-66_n66,4,25,2,2,0,13_n66,1,40,1,2,0
2-66-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
2-5-66_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2-7-7_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2-7-13_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2-7-66_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2-13-66_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2-66-66_n66,4,25,2,2,0,2_n66,1,40,1,2,0
7-7-13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
7-7-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
7-7-13_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7-7-66_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7-13-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
7-13-66_n66,4,25,2,2,0,13_n66,1,40,1,2,0
7-66-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
