DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
n5;[2];[10];[1];[2];[0];n5;[1];[10];[1];[2];[0]
n5;[2];[30];[1];[2];[0];n5;[1];[20];[1];[2];[0]
n30;[2];[40];[1];[2];[0];n30;[1];[20];[1];[2];[0]
n66;[2];[20];[2];[2];[0];n66;[1];[30];[1];[2];[0]
n66;[4];[20];[2];[2];[0];n66;[1];[30];[1];[2];[0]
n66;[4];[25];[2];[2];[0];n66;[1];[40];[1];[2];[0]
n71;[2];[30];[1];[2];[0];n71;[1];[20];[1];[2];[0]
n78;[4];[100];[2];[2];[1];n78;[1];[100];[2];[2];[1]
n78;[4];[100];[2];[2];[1];n78;[2];[100];[2];[2];[1]
n5_n30;[2, 2];[30, 40];[1, 1];[2, 2];[0, 0];n30;[1];[20];[1];[2];[0]
n5_n66;[2, 4];[30, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n5_n78;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n5_n30;[2, 2];[30, 40];[1, 1];[2, 2];[0, 0];n5;[1];[20];[1];[2];[0]
n5_n66;[2, 4];[30, 25];[1, 2];[2, 2];[0, 0];n5;[1];[20];[1];[2];[0]
n5_n78;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n5;[1];[20];[1];[2];[0]
n29_n66;[2, 4];[10, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n30_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n30_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n30;[1];[20];[1];[2];[0]
n66_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n66_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n66_n71;[4, 2];[25, 30];[2, 1];[2, 2];[0, 0];n71;[1];[20];[1];[2];[0]
n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n66_n71;[4, 2];[25, 30];[2, 1];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n66;[1];[40];[1];[2];[0]
n71_n78;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n71_n78;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n71;[1];[20];[1];[2];[0]
n78_n78;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n78;[2];[100];[2];[2];[1]
2_n5;[2];[10];[1];[2];[0];2_n5;[1];[10];[1];[2];[0]
2_n5;[2];[10];[1];[2];[0];2_n5;[1];[10];[1];[2];[0]
2_n5;[2];[30];[1];[2];[0];2_n5;[1];[20];[1];[2];[0]
2_n78;[4];[100];[2];[2];[1];2_n78;[1];[100];[2];[2];[1]
2_n78;[4];[100];[2];[2];[1];2_n78;[1];[100];[2];[2];[1]
2_n66;[4];[25];[2];[2];[0];2_n66;[1];[40];[1];[2];[0]
2_n71;[2];[30];[1];[2];[0];2_n71;[1];[20];[1];[2];[0]
4_n78;[4];[100];[2];[2];[1];4_n78;[1];[100];[2];[2];[1]
5_n66;[2];[20];[2];[2];[0];5_n66;[1];[30];[1];[2];[0]
5_n66;[4];[20];[2];[2];[0];5_n66;[1];[30];[1];[2];[0]
