DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n1,2,30,1,2,0,n1,1,20,1,2,0
n1,2,40,1,2,0,n1,1,20,1,2,0
n3,2,30,1,2,0,n3,1,20,1,2,0
n3,2,40,1,2,0,n3,1,20,1,2,0
n3,4,25,2,2,0,n3,1,40,1,2,0
n7,2,25,1,2,0,n7,1,15,1,2,0
n7,2,30,2,2,0,n7,1,50,1,2,0
n20,2,10,1,2,0,n20,1,10,1,2,0
n28,2,10,1,2,0,n28,1,10,1,2,0
n28,2,30,1,2,0,n28,1,20,1,2,0
n78,4,100,2,2,1,n78,1,100,2,2,1
n78,4,100,2,2,1,n78,2,100,2,2,1
n1_n78,2;4,30;100,1;2,2;2,0;1,n78,1,100,2,2,1
n1_n78,2;4,40;100,1;2,2;2,0;1,n78,1,100,2,2,1
n1_n78,2;4,40;100,1;2,2;2,0;1,n78,2,100,2,2,1
n1_n78,2;4,30;100,1;2,2;2,0;1,n1,1,20,1,2,0
n1_n78,2;4,40;100,1;2,2;2,0;1,n1,1,20,1,2,0
n3_n20,2;2,30;10,1;1,2;2,0;0,n20,1,10,1,2,0
n3_n20,2;2,40;10,1;1,2;2,0;0,n20,1,10,1,2,0
n3_n20,4;2,25;10,2;1,2;2,0;0,n20,1,10,1,2,0
n3_n28,2;2,30;10,1;1,2;2,0;0,n28,1,10,1,2,0
n3_n28,2;2,40;10,1;1,2;2,0;0,n28,1,10,1,2,0
n3_n28,4;2,25;30,2;1,2;2,0;0,n28,1,20,1,2,0
n3_n78,2;4,30;100,1;2,2;2,0;1,n78,1,100,2,2,1
n3_n78,2;4,40;100,1;2,2;2,0;1,n78,1,100,2,2,1
n3_n78,4;4,25;100,2;2,2;2,0;1,n78,2,100,2,2,1
n3_n20,2;2,30;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n20,2;2,40;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n20,4;2,25;10,2;1,2;2,0;0,n3,1,40,1,2,0
n3_n28,2;2,30;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n28,2;2,40;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n28,4;2,25;30,2;1,2;2,0;0,n3,1,40,1,2,0
n3_n78,2;4,30;100,1;2,2;2,0;1,n3,1,20,1,2,0
n3_n78,2;4,40;100,1;2,2;2,0;1,n3,1,20,1,2,0
n3_n78,4;4,25;100,2;2,2;2,0;1,n3,1,40,1,2,0
n7_n78,2;4,25;100,1;2,2;2,0;1,n78,1,100,2,2,1
n7_n78,2;4,30;100,2;2,2;2,0;1,n78,2,100,2,2,1
n7_n78,2;4,25;100,1;2,2;2,0;1,n7,1,15,1,2,0
n7_n78,2;4,30;100,2;2,2;2,0;1,n7,1,50,1,2,0
n20_n78,2;4,10;100,1;2,2;2,0;1,n78,1,100,2,2,1
n20_n78,2;4,10;100,1;2,2;2,0;1,n78,2,100,2,2,1
n20_n78,2;4,10;100,1;2,2;2,0;1,n20,1,10,1,2,0
n28_n78,2;4,10;100,1;2,2;2,0;1,n78,1,100,2,2,1
n28_n78,2;4,10;100,1;2,2;2,0;1,n78,2,100,2,2,1
n28_n78,2;4,30;100,1;2,2;2,0;1,n78,2,100,2,2,1
n28_n78,2;4,10;100,1;2,2;2,0;1,n28,1,10,1,2,0
n28_n78,2;4,30;100,1;2,2;2,0;1,n28,1,20,1,2,0
1_n20,2,10,1,2,0,1_n20,1,10,1,2,0
1_n20,2,10,1,2,0,1_n20,1,10,1,2,0
1_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1_n3,2,40,1,2,0,1_n3,1,20,1,2,0
1_n3,4,25,2,2,0,1_n3,1,40,1,2,0
1_n7,2,30,2,2,0,1_n7,1,50,1,2,0
1_n28,2,30,1,2,0,1_n28,1,20,1,2,0
3_n20,2,10,1,2,0,3_n20,1,10,1,2,0
3_n20,2,10,1,2,0,3_n20,1,10,1,2,0
3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3_n1,2,40,1,2,0,3_n1,1,20,1,2,0
3_n7,2,30,2,2,0,3_n7,1,50,1,2,0
3_n28,2,30,1,2,0,3_n28,1,20,1,2,0
7_n1,2,40,1,2,0,7_n1,1,20,1,2,0
7_n3,2,40,1,2,0,7_n3,1,20,1,2,0
7_n3,4,25,2,2,0,7_n3,1,40,1,2,0
7_n20,2,10,1,2,0,7_n20,1,10,1,2,0
7_n28,2,30,1,2,0,7_n28,1,20,1,2,0
7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
20_n1,2,30,1,2,0,20_n1,1,20,1,2,0
20_n1,2,40,1,2,0,20_n1,1,20,1,2,0
20_n3,2,30,1,2,0,20_n3,1,20,1,2,0
20_n3,2,40,1,2,0,20_n3,1,20,1,2,0
20_n3,4,25,2,2,0,20_n3,1,40,1,2,0
20_n7,2,30,2,2,0,20_n7,1,50,1,2,0
20_n78,4,100,2,2,1,20_n78,1,100,2,2,1
n3_n20_n78,2;2;4,30;10;100,1;1;2,2;2;2,0;0;1,n78,1,100,2,2,1
n3_n20_n78,2;2;4,40;10;100,1;1;2,2;2;2,0;0;1,n78,1,100,2,2,1
n3_n20_n78,4;2;4,25;10;100,2;1;2,2;2;2,0;0;1,n78,2,100,2,2,1
n3_n20_n78,2;2;4,30;10;100,1;1;2,2;2;2,0;0;1,n20,1,10,1,2,0
n3_n20_n78,2;2;4,40;10;100,1;1;2,2;2;2,0;0;1,n20,1,10,1,2,0
n3_n20_n78,4;2;4,25;10;100,2;1;2,2;2;2,0;0;1,n20,1,10,1,2,0
n3_n28_n78,2;2;4,30;10;100,1;1;2,2;2;2,0;0;1,n78,1,100,2,2,1
n3_n28_n78,2;2;4,40;10;100,1;1;2,2;2;2,0;0;1,n78,1,100,2,2,1
n3_n28_n78,4;2;4,25;30;100,2;1;2,2;2;2,0;0;1,n78,2,100,2,2,1
n3_n28_n78,2;2;4,30;10;100,1;1;2,2;2;2,0;0;1,n28,1,10,1,2,0
n3_n28_n78,2;2;4,40;10;100,1;1;2,2;2;2,0;0;1,n28,1,10,1,2,0
n3_n28_n78,4;2;4,25;30;100,2;1;2,2;2;2,0;0;1,n28,1,20,1,2,0
n3_n20_n78,2;2;4,30;10;100,1;1;2,2;2;2,0;0;1,n3,1,20,1,2,0
n3_n20_n78,2;2;4,40;10;100,1;1;2,2;2;2,0;0;1,n3,1,20,1,2,0
n3_n20_n78,4;2;4,25;10;100,2;1;2,2;2;2,0;0;1,n3,1,40,1,2,0
n3_n28_n78,2;2;4,30;10;100,1;1;2,2;2;2,0;0;1,n3,1,20,1,2,0
