DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n66,2,30,1,2,0,n66,1,20,1,2,0
n66,2,40,1,2,0,n66,1,20,1,2,0
n66,4,25,2,2,0,n66,1,40,1,2,0
n71,2,30,1,2,0,n71,1,20,1,2,0
n77,4,100,2,2,1,n77,2,100,2,2,1
n78,4,100,2,2,1,n78,1,100,2,2,1
n78,4,100,2,2,1,n78,2,100,2,2,1
2_n66,2,40,1,2,0,2_n66,1,20,1,2,0
2_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2_n71,2,30,1,2,0,2_n71,1,20,1,2,0
4_n78,4,100,2,2,1,4_n78,1,100,2,2,1
4_n78,4,100,2,2,1,4_n78,1,100,2,2,1
5_n66,2,30,1,2,0,5_n66,1,20,1,2,0
5_n66,2,40,1,2,0,5_n66,1,20,1,2,0
5_n66,4,25,2,2,0,5_n66,1,40,1,2,0
7_n66,2,40,1,2,0,7_n66,1,20,1,2,0
7_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
13_n66,2,40,1,2,0,13_n66,1,20,1,2,0
13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
13_n78,4,100,2,2,1,13_n78,1,100,2,2,1
66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
71_n66,2,40,1,2,0,71_n66,1,20,1,2,0
71_n66,4,25,2,2,0,71_n66,1,40,1,2,0
71_n78,4,100,2,2,1,71_n78,1,100,2,2,1
2-5_n66,2,30,1,2,0,5_n66,1,20,1,2,0
2-5_n66,2,40,1,2,0,5_n66,1,20,1,2,0
2-5_n66,4,25,2,2,0,5_n66,1,40,1,2,0
2-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
2-5_n66,2,40,1,2,0,2_n66,1,20,1,2,0
2-5_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2-66_n71,2,30,1,2,0,2_n71,1,20,1,2,0
2-71_n71,2,30,1,2,0,2_n71,1,20,1,2,0
2-71_n71,2,30,1,2,0,2_n71,1,20,1,2,0
4_n78_n78,4;4,100;100,2;2,2;2,1;1,4_n78,1,100,2,2,1
4_n78_n78,4;4,100;100,2;2,2;2,1;1,4_n78,1,100,2,2,1
7-13_n66,2,40,1,2,0,13_n66,1,20,1,2,0
7-13_n66,2,40,1,2,0,13_n66,1,20,1,2,0
7-13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
7-66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
7-66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
7-66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
7-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-66_n78,4,100,2,2,1,7_n78,1,100,2,2,1
7-66_n78,4,100,2,2,1,7_n78,1,100,2,2,1
7-66_n78,4,100,2,2,1,7_n78,1,100,2,2,1
7-66_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7-66_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7_n66_n78,2;4,30;100,1;2,2;2,0;1,7_n78,1,100,2,2,1
7_n66_n78,2;4,40;100,1;2,2;2,0;1,7_n78,1,100,2,2,1
7_n66_n78,2;4,40;100,1;2,2;2,0;1,7_n78,1,100,2,2,1
7_n66_n78,4;4,25;100,2;2,2;2,0;1,7_n78,1,100,2,2,1
7-66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
7-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
7-13_n66,2,40,1,2,0,7_n66,1,20,1,2,0
7-13_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7-66_n66,2,40,1,2,0,7_n66,1,20,1,2,0
7-66_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7_n66_n78,2;4,40;100,1;2,2;2,0;1,7_n66,1,20,1,2,0
7_n66_n78,4;4,25;100,2;2,2;2,0;1,7_n66,1,40,1,2,0
7_n78_n78,4;4,100;100,2;2,2;2,1;1,7_n78,1,100,2,2,1
13-66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
13-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
13-66_n66,2,40,1,2,0,13_n66,1,20,1,2,0
13-66_n66,4,25,2,2,0,13_n66,1,40,1,2,0
13_n78_n78,4;4,100;100,2;2,2;2,1;1,13_n78,1,100,2,2,1
46-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
66-66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
66-66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
66_n66_n78,2;4,30;100,1;2,2;2,0;1,66_n78,1,100,2,2,1
66_n66_n78,2;4,40;100,1;2,2;2,0;1,66_n78,1,100,2,2,1
66_n66_n78,4;4,25;100,2;2,2;2,0;1,66_n78,1,100,2,2,1
66_n78_n78,4;4,100;100,2;2,2;2,1;1,66_n78,1,100,2,2,1
66_n78_n78,4;4,100;100,2;2,2;2,1;1,66_n78,1,100,2,2,1
66-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
66-71_n66,2,40,1,2,0,71_n66,1,20,1,2,0
66-71_n66,4,25,2,2,0,71_n66,1,40,1,2,0
66-71_n78,4,100,2,2,1,71_n78,1,100,2,2,1
66-71_n66,2,40,1,2,0,66_n66,1,20,1,2,0
66-71_n66,4,25,2,2,0,66_n66,1,40,1,2,0
66-71_n71,2,30,1,2,0,66_n71,1,20,1,2,0
66-71_n71,2,30,1,2,0,66_n71,1,20,1,2,0
66-71_n78,4,100,2,2,1,66_n78,1,100,2,2,1
66_n66_n78,4;4,25;100,2;2,2;2,0;1,66_n66,1,40,1,2,0
66C_n71,2,30,1,2,0,66_n71,1,20,1,2,0
2-66-71_n71,2,30,1,2,0,66_n71,1,20,1,2,0
2-66-71_n71,2,30,1,2,0,66_n71,1,20,1,2,0
2-66-71_n71,2,30,1,2,0,2_n71,1,20,1,2,0
2-66-71_n71,2,30,1,2,0,2_n71,1,20,1,2,0
7-66-66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
7-66-66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
7-66-66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
7-66-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-66-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
7-66-66_n78,4,100,2,2,1,7_n78,1,100,2,2,1
7-66-66_n78,4,100,2,2,1,7_n78,1,100,2,2,1
7-66-66_n78,4,100,2,2,1,7_n78,1,100,2,2,1
7-66-66_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7-66-66_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7-13-66_n66,2,40,1,2,0,66_n66,1,20,1,2,0
7-13-66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
7-13-66_n66,2,40,1,2,0,13_n66,1,20,1,2,0
7-13-66_n66,4,25,2,2,0,13_n66,1,40,1,2,0
7-66_n66_n78,2;4,40;100,1;2,2;2,0;1,66_n78,1,100,2,2,1
7-66_n66_n78,4;4,25;100,2;2,2;2,0;1,66_n78,1,100,2,2,1
7-66_n66_n78,2;4,40;100,1;2,2;2,0;1,66_n66,1,20,1,2,0
7-66_n66_n78,4;4,25;100,2;2,2;2,0;1,66_n66,1,40,1,2,0
7-66_n78_n78,4;4,100;100,2;2,2;2,1;1,66_n78,1,100,2,2,1
7-13-66_n66,2,40,1,2,0,7_n66,1,20,1,2,0
7-13-66_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7-66_n66_n78,2;4,40;100,1;2,2;2,0;1,7_n78,1,100,2,2,1
7-66_n66_n78,4;4,25;100,2;2,2;2,0;1,7_n78,1,100,2,2,1
7-66_n66_n78,2;4,40;100,1;2,2;2,0;1,7_n66,1,20,1,2,0
7-66_n66_n78,4;4,25;100,2;2,2;2,0;1,7_n66,1,40,1,2,0
7-66_n78_n78,4;4,100;100,2;2,2;2,1;1,7_n78,1,100,2,2,1
46C-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
66-66_n78_n78,4;4,100;100,2;2,2;2,1;1,66_n78,1,100,2,2,1
7-66-66_n78_n78,4;4,100;100,2;2,2;2,1;1,66_n78,1,100,2,2,1
7-66-66_n78_n78,4;4,100;100,2;2,2;2,1;1,7_n78,1,100,2,2,1
46D-66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
