DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n2,2,30,1,2,0,n2,1,20,1,2,0
n2,2,40,1,2,0,n2,1,20,1,2,0
n5,2,30,1,2,0,n5,1,20,1,2,0
n48,4,100,2,2,1,n48,1,100,2,2,1
n48,4,100,2,2,1,n48,2,100,2,2,1
n66,2,25,2,2,0,n66,1,40,1,2,0
n66,4,25,2,2,0,n66,1,40,1,2,0
n77,4,100,2,2,1,n77,1,100,2,2,1
n77,4,100,2,2,1,n77,2,100,2,2,1
n2_n2,2;2,30;30,1;1,2;2,0;0,n2,1,20,1,2,0
n2_n2,2;2,40;40,1;1,2;2,0;0,n2,1,20,1,2,0
n2_n5,2;2,30;30,1;1,2;2,0;0,n5,1,20,1,2,0
n2_n5,2;2,40;30,1;1,2;2,0;0,n5,1,20,1,2,0
n2_n66,2;2,30;25,1;2,2;2,0;0,n66,1,40,1,2,0
n2_n66,2;4,40;25,1;2,2;2,0;0,n66,1,40,1,2,0
n2_n77,2;4,30;100,1;2,2;2,0;1,n77,1,100,2,2,1
n2_n77,2;4,40;100,1;2,2;2,0;1,n77,1,100,2,2,1
n2_n77,2;4,40;100,1;2,2;2,0;1,n77,2,100,2,2,1
n2_n5,2;2,30;30,1;1,2;2,0;0,n2,1,20,1,2,0
n2_n5,2;2,40;30,1;1,2;2,0;0,n2,1,20,1,2,0
n2_n66,2;2,30;25,1;2,2;2,0;0,n2,1,20,1,2,0
n2_n66,2;4,40;25,1;2,2;2,0;0,n2,1,20,1,2,0
n2_n77,2;4,30;100,1;2,2;2,0;1,n2,1,20,1,2,0
n2_n77,2;4,40;100,1;2,2;2,0;1,n2,1,20,1,2,0
n2_n48,2;4,40;100,1;2,2;2,0;1,n48,1,100,2,2,1
n2_n48,2;4,40;100,1;2,2;2,0;1,n48,2,100,2,2,1
n2_n48,2;4,40;100,1;2,2;2,0;1,n2,1,20,1,2,0
n5_n5,2;2,10;10,1;1,2;2,0;0,n5,1,10,1,2,0
n5_n48,2;4,30;100,1;2,2;2,0;1,n48,1,100,2,2,1
n5_n48,2;4,30;100,1;2,2;2,0;1,n48,2,100,2,2,1
n5_n66,2;2,30;25,1;2,2;2,0;0,n66,1,40,1,2,0
n5_n66,2;4,30;25,1;2,2;2,0;0,n66,1,40,1,2,0
n5_n77,2;4,30;100,1;2,2;2,0;1,n77,1,100,2,2,1
n5_n77,2;4,30;100,1;2,2;2,0;1,n77,2,100,2,2,1
n5_n48,2;4,30;100,1;2,2;2,0;1,n5,1,20,1,2,0
n5_n66,2;2,30;25,1;2,2;2,0;0,n5,1,20,1,2,0
n5_n66,2;4,30;25,1;2,2;2,0;0,n5,1,20,1,2,0
n5_n77,2;4,30;100,1;2,2;2,0;1,n5,1,20,1,2,0
n5,2;2,10;10,1;1,2;2,0;0,n5,1,10,1,2,0
n48_n48,2;4,80;100,2;2,2;2,0;1,n48,2,100,2,2,1
n48_n48,4;4,100;100,2;2,2;2,1;1,n48,1,100,2,2,1
n48_n48,4;4,100;100,2;2,2;2,1;1,n48,2,100,2,2,1
n48_n48,2;4,80;100,2;2,2;2,0;1,n48,2,50,2,2,0
n48_n66,4;4,100;25,2;2,2;2,1;0,n66,1,40,1,2,0
n48_n77,4;4,100;100,2;2,2;2,1;1,n77,1,100,2,2,1
n48_n77,4;4,100;100,2;2,2;2,1;1,n77,2,100,2,2,1
n48_n66,4;4,100;25,2;2,2;2,1;0,n48,1,100,2,2,1
n48_n66,4;4,100;25,2;2,2;2,1;0,n48,2,100,2,2,1
n48_n77,4;4,100;100,2;2,2;2,1;1,n48,1,100,2,2,1
n48_n77,4;4,100;100,2;2,2;2,1;1,n48,2,100,2,2,1
n48,2;2,80;80,2;2,2;2,0;0,n48,1,50,2,2,0
n48,2;2,80;80,2;2,2;2,0;0,n48,2,50,2,2,0
