DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n1,2,30,1,2,0,n1,1,20,1,2,0
n1,2,40,1,2,0,n1,1,20,1,2,0
n2,2,30,1,2,0,n2,1,20,1,2,0
n2,2,40,1,2,0,n2,1,20,1,2,0
n3,2,30,1,2,0,n3,1,20,1,2,0
n3,2,40,1,2,0,n3,1,20,1,2,0
n3,4,25,2,2,0,n3,1,40,1,2,0
n5,2,10,1,2,0,n5,1,10,1,2,0
n5,2,30,1,2,0,n5,1,20,1,2,0
n7,2,40,1,2,0,n7,1,20,1,2,0
n7,2,30,2,2,0,n7,1,50,1,2,0
n8,2,10,1,2,0,n8,1,10,1,2,0
n12,2,10,1,2,0,n12,1,10,1,2,0
n12,2,30,1,2,0,n12,1,20,1,2,0
n14,2,10,1,2,0,n14,1,10,1,2,0
n20,2,10,1,2,0,n20,1,10,1,2,0
n25,2,30,1,2,0,n25,1,20,1,2,0
n25,2,40,1,2,0,n25,1,20,1,2,0
n25,4,25,2,2,0,n25,1,40,1,2,0
n28,2,10,1,2,0,n28,1,10,1,2,0
n28,2,30,1,2,0,n28,1,20,1,2,0
n30,2,40,1,2,0,n30,1,20,1,2,0
n38,4,40,2,2,0,n38,1,20,2,2,0
n40,4,80,2,2,1,n40,1,80,2,2,0
n41,4,100,2,2,1,n41,1,100,2,2,1
n41,4,100,2,2,1,n41,2,100,2,2,1
n48,4,100,2,2,1,n48,1,100,2,2,1
n48,4,100,2,2,1,n48,2,100,2,2,1
n66,2,30,1,2,0,n66,1,20,1,2,0
n66,2,40,1,2,0,n66,1,20,1,2,0
n66,4,25,2,2,0,n66,1,40,1,2,0
n70,2,40,1,2,0,n70,1,20,1,2,0
n71,2,30,1,2,0,n71,1,20,1,2,0
n77,4,100,2,2,1,n77,1,100,2,2,1
n77,4,100,2,2,1,n77,2,100,2,2,1
n78,4,100,2,2,1,n78,1,100,2,2,1
n78,4,100,2,2,1,n78,2,100,2,2,1
n79,4,100,2,2,1,n79,1,100,2,2,1
n1_n1,2;2,30;30,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n1,2;2,40;40,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n3,2;2,30;30,1;1,2;2,0;0,n3,1,20,1,2,0
n1_n3,2;2,40;40,1;1,2;2,0;0,n3,1,20,1,2,0
n1_n3,2;4,40;25,1;2,2;2,0;0,n3,1,40,1,2,0
n1_n5,2;2,30;10,1;1,2;2,0;0,n5,1,10,1,2,0
n1_n5,2;2,40;10,1;1,2;2,0;0,n5,1,10,1,2,0
n1_n5,2;2,40;30,1;1,2;2,0;0,n5,1,20,1,2,0
n1_n7,2;2,30;30,1;1,2;2,0;0,n7,1,20,1,2,0
n1_n7,2;2,40;30,1;1,2;2,0;0,n7,1,20,1,2,0
n1_n7,2;2,40;40,1;1,2;2,0;0,n7,1,20,1,2,0
n1_n7,2;2,40;30,1;2,2;2,0;0,n7,1,50,1,2,0
n1_n8,2;2,30;10,1;1,2;2,0;0,n8,1,10,1,2,0
n1_n8,2;2,40;10,1;1,2;2,0;0,n8,1,10,1,2,0
n1_n20,2;2,30;10,1;1,2;2,0;0,n20,1,10,1,2,0
n1_n20,2;2,40;10,1;1,2;2,0;0,n20,1,10,1,2,0
n1_n28,2;2,30;10,1;1,2;2,0;0,n28,1,10,1,2,0
n1_n28,2;2,40;10,1;1,2;2,0;0,n28,1,10,1,2,0
n1_n28,2;2,40;30,1;1,2;2,0;0,n28,1,20,1,2,0
n1_n38,2;4,30;40,1;2,2;2,0;0,n38,1,20,2,2,0
n1_n38,2;4,40;40,1;2,2;2,0;0,n38,1,20,2,2,0
n1_n78,2;4,30;100,1;2,2;2,0;1,n78,1,100,2,2,1
n1_n78,2;4,40;100,1;2,2;2,0;1,n78,1,100,2,2,1
n1_n78,2;4,40;100,1;2,2;2,0;1,n78,2,100,2,2,1
n1_n3,2;2,30;30,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n3,2;2,40;40,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n3,2;4,40;25,1;2,2;2,0;0,n1,1,20,1,2,0
n1_n5,2;2,30;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n5,2;2,40;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n5,2;2,40;30,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n7,2;2,30;30,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n7,2;2,40;30,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n7,2;2,40;40,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n7,2;2,40;30,1;2,2;2,0;0,n1,1,20,1,2,0
n1_n8,2;2,30;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n8,2;2,40;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n20,2;2,30;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n20,2;2,40;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n28,2;2,30;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n28,2;2,40;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n28,2;2,40;30,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n38,2;4,30;40,1;2,2;2,0;0,n1,1,20,1,2,0
n1_n38,2;4,40;40,1;2,2;2,0;0,n1,1,20,1,2,0
n1_n78,2;4,30;100,1;2,2;2,0;1,n1,1,20,1,2,0
n1_n78,2;4,40;100,1;2,2;2,0;1,n1,1,20,1,2,0
n1_n40,2;2,40;80,1;2,2;2,0;1,n40,1,80,2,2,0
n1_n40,2;4,40;80,1;2,2;2,0;1,n40,1,80,2,2,0
n1_n41,2;4,40;100,1;2,2;2,0;1,n41,1,100,2,2,1
n1_n40,2;2,40;80,1;2,2;2,0;1,n1,1,20,1,2,0
n1_n40,2;4,40;80,1;2,2;2,0;1,n1,1,20,1,2,0
n1_n41,2;4,40;100,1;2,2;2,0;1,n1,1,20,1,2,0
n2_n2,2;2,30;30,1;1,2;2,0;0,n2,1,20,1,2,0
n2_n2,2;2,40;40,1;1,2;2,0;0,n2,1,20,1,2,0
n2_n5,2;2,30;10,1;1,2;2,0;0,n5,1,10,1,2,0
n2_n5,2;2,40;10,1;1,2;2,0;0,n5,1,10,1,2,0
n2_n5,2;2,40;30,1;1,2;2,0;0,n5,1,20,1,2,0
n2_n12,2;2,30;10,1;1,2;2,0;0,n12,1,10,1,2,0
n2_n12,2;2,40;10,1;1,2;2,0;0,n12,1,10,1,2,0
n2_n12,2;2,40;30,1;1,2;2,0;0,n12,1,20,1,2,0
n2_n66,2;2,30;30,1;1,2;2,0;0,n66,1,20,1,2,0
