DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
n1;[2];[30];[1];[2];[0];n1;[1];[20];[1];[2];[0]
n1;[2];[40];[1];[2];[0];n1;[1];[20];[1];[2];[0]
n3;[2];[20];[2];[2];[0];n3;[1];[30];[1];[2];[0]
n3;[4];[20];[2];[2];[0];n3;[1];[30];[1];[2];[0]
n3;[4];[25];[2];[2];[0];n3;[1];[40];[1];[2];[0]
n7;[2];[40];[1];[2];[0];n7;[1];[20];[1];[2];[0]
n7;[2];[30];[2];[2];[0];n7;[1];[50];[1];[2];[0]
n8;[2];[10];[1];[2];[0];n8;[1];[10];[1];[2];[0]
n20;[2];[10];[1];[2];[0];n20;[1];[10];[1];[2];[0]
n28;[2];[10];[1];[2];[0];n28;[1];[10];[1];[2];[0]
n28;[2];[30];[1];[2];[0];n28;[1];[20];[1];[2];[0]
n38;[4];[40];[2];[2];[0];n38;[1];[20];[2];[2];[0]
n78;[4];[100];[2];[2];[1];n78;[1];[100];[2];[2];[1]
n78;[4];[100];[2];[2];[1];n78;[2];[100];[2];[2];[1]
n1_n78;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n78;[1];[100];[2];[2];[1]
n1_n78;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n78;[1];[100];[2];[2];[1]
n1_n78;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n1_n78;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n1;[1];[20];[1];[2];[0]
n1_n78;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n1;[1];[20];[1];[2];[0]
n3_n38;[2, 4];[20, 40];[2, 2];[2, 2];[0, 0];n38;[1];[20];[2];[2];[0]
n3_n38;[4, 4];[20, 40];[2, 2];[2, 2];[0, 0];n38;[1];[20];[2];[2];[0]
n3_n38;[4, 4];[25, 40];[2, 2];[2, 2];[0, 0];n38;[1];[20];[2];[2];[0]
n3_n78;[2, 4];[20, 100];[2, 2];[2, 2];[0, 1];n78;[1];[100];[2];[2];[1]
n3_n78;[4, 4];[20, 100];[2, 2];[2, 2];[0, 1];n78;[1];[100];[2];[2];[1]
n3_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n3_n38;[2, 4];[20, 40];[2, 2];[2, 2];[0, 0];n3;[1];[30];[1];[2];[0]
n3_n38;[4, 4];[20, 40];[2, 2];[2, 2];[0, 0];n3;[1];[30];[1];[2];[0]
n3_n38;[4, 4];[25, 40];[2, 2];[2, 2];[0, 0];n3;[1];[40];[1];[2];[0]
n3_n78;[2, 4];[20, 100];[2, 2];[2, 2];[0, 1];n3;[1];[30];[1];[2];[0]
n3_n78;[4, 4];[20, 100];[2, 2];[2, 2];[0, 1];n3;[1];[30];[1];[2];[0]
n3_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n3;[1];[40];[1];[2];[0]
n7_n78;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n78;[1];[100];[2];[2];[1]
n7_n78;[2, 4];[30, 100];[2, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n7_n78;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n7;[1];[20];[1];[2];[0]
n7_n78;[2, 4];[30, 100];[2, 2];[2, 2];[0, 1];n7;[1];[50];[1];[2];[0]
n20_n78;[2, 4];[10, 100];[1, 2];[2, 2];[0, 1];n78;[1];[100];[2];[2];[1]
n20_n78;[2, 4];[10, 100];[1, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n20_n78;[2, 4];[10, 100];[1, 2];[2, 2];[0, 1];n20;[1];[10];[1];[2];[0]
n38_n78;[4, 4];[40, 100];[2, 2];[2, 2];[0, 1];n78;[1];[100];[2];[2];[1]
n38_n78;[4, 4];[40, 100];[2, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n38_n78;[4, 4];[40, 100];[2, 2];[2, 2];[0, 1];n38;[1];[20];[2];[2];[0]
n78_n78;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n78;[1];[100];[2];[2];[1]
n78_n78;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n78;[2];[100];[2];[2];[1]
n78C;[2, 2];[80, 80];[2, 2];[2, 2];[0, 0];n78;[1];[50];[2];[2];[0]
n78C;[2, 2];[80, 80];[2, 2];[2, 2];[0, 0];n78;[2];[50];[2];[2];[0]
n78C;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n78;[2];[100];[2];[2];[1]
1_n28;[2];[10];[1];[2];[0];1_n28;[1];[10];[1];[2];[0]
1_n28;[2];[10];[1];[2];[0];1_n28;[1];[10];[1];[2];[0]
1_n28;[2];[30];[1];[2];[0];1_n28;[1];[20];[1];[2];[0]
1_n38;[4];[40];[2];[2];[0];1_n38;[1];[20];[2];[2];[0]
1_n38;[4];[40];[2];[2];[0];1_n38;[1];[20];[2];[2];[0]
1_n78;[4];[100];[2];[2];[1];1_n78;[1];[100];[2];[2];[1]
1_n78;[4];[100];[2];[2];[1];1_n78;[1];[100];[2];[2];[1]
1_n3;[4];[20];[2];[2];[0];1_n3;[1];[30];[1];[2];[0]
1_n3;[4];[25];[2];[2];[0];1_n3;[1];[40];[1];[2];[0]
1_n7;[2];[40];[1];[2];[0];1_n7;[1];[20];[1];[2];[0]
1_n7;[2];[30];[2];[2];[0];1_n7;[1];[50];[1];[2];[0]
1_n8;[2];[10];[1];[2];[0];1_n8;[1];[10];[1];[2];[0]
1_n20;[2];[10];[1];[2];[0];1_n20;[1];[10];[1];[2];[0]
3_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3_n28;[2];[30];[1];[2];[0];3_n28;[1];[20];[1];[2];[0]
3_n38;[4];[40];[2];[2];[0];3_n38;[1];[20];[2];[2];[0]
3_n38;[4];[40];[2];[2];[0];3_n38;[1];[20];[2];[2];[0]
3_n78;[4];[100];[2];[2];[1];3_n78;[1];[100];[2];[2];[1]
3_n78;[4];[100];[2];[2];[1];3_n78;[1];[100];[2];[2];[1]
3_n1;[2];[40];[1];[2];[0];3_n1;[1];[20];[1];[2];[0]
3_n7;[2];[40];[1];[2];[0];3_n7;[1];[20];[1];[2];[0]
3_n7;[2];[30];[2];[2];[0];3_n7;[1];[50];[1];[2];[0]
3_n8;[2];[10];[1];[2];[0];3_n8;[1];[10];[1];[2];[0]
3_n20;[2];[10];[1];[2];[0];3_n20;[1];[10];[1];[2];[0]
7_n3;[4];[20];[2];[2];[0];7_n3;[1];[30];[1];[2];[0]
